IPN,Description,Manufacturer,Manufacturer Part Number,Library Ref,Library Path,Footprint Ref,Footprint Path,Footprint Ref 2,Footprint Path 2,Footprint Ref 3,Footprint Path 3,Value,HelpUrl,ComponentLink1Description,ComponentLink1URL
CAP-00001,CAP CER 1UF 35V X7R 0805,Murata Electronics North America, GRM219R7YA105KA12D ,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,0.1uF,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM219R7YA105KA12-01.pdf,Datasheet,https://search.murata.co.jp/Ceramy/image/img/A01X/G101/ENG/GRM219R7YA105KA12-01.pdf
CAP-00002,CAP CER 1UF 50V X5R 0805,Taiyo Yuden,UMK212BJ105KG-T,Capacitor,SchLib\Capacitor.SchLib,0805_CAPC2012X13N,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13L,PcbLib\Capacitor.PcbLib,0805_CAPC2012X13M,PcbLib\Capacitor.PcbLib,1uF,,,
CAP-00003,CAP CER 12PF 50V NP0 0402,Taiyo Yuden,UMK105CG120JV-F,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,12pF,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=UMK105CG120JV-F%20%20&u=M,Datasheet,https://ds.yuden.co.jp/TYCOMPAS/ut/detail?pn=UMK105CG120JV-F%20%20&u=M
