"IPN","Description","Manufacturer","Manufacturer Part Number","Library Ref","Library Path","Footprint Ref","Footprint Path","Footprint Ref 2","Footprint Path 2","Footprint Ref 3","Footprint Path 3","Value","HelpUrl","ComponentLink1Description","ComponentLink1URL"
"IC-POWER-00001","IC LI-ION/LI-POLY CTRLR 10DFN","Microchip Technology","MCP73833T-AMI/MF","MCP73833T-AMI/MF","SchLib\IC.SchLib","","PcbLib\IC.PcbLib","","","","","4021","http://www.ti.com/lit/ds/symlink/cd4021b-q1.pdf","Datasheet","http://www.ti.com/lit/ds/symlink/cd4021b-q1.pdf"
"IC-POWER-00002"," IC REG CONV CCD 2OUT 14TDFN ","Maxim Integrated","MAX8614BETD+TCK5","MAX8614B","SchLib\IC.SchLib","","","","","","","","","",""
