IPN,Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Library Ref,Library Path,Footprint Ref,Footprint Path,Footprint Ref 2,Footprint Path 2,Footprint Ref 3,Footprint Path 3,Series,Part Status,Value,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Operating Temperature,Mounting Type,Package / Case,Size / Dimension,Thickness (Max)
CAP-KEM-GP-0402-00037,https://api.kemet.com/component-edge/download/datasheet/C0402C104K8RACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-3520-1-ND,C0402C104K8RACTU,KEMET,CAP CER 0.1UF 10V X7R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X7R,Active,0.1uF,0.1uF,10%,10V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00038,https://api.kemet.com/component-edge/download/datasheet/C0402C104M8RACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-8943-1-ND,C0402C104M8RACTU,KEMET,CAP CER 0.1UF 10V X7R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X7R,Active,0.1uF,0.1uF,20%,10V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00039,https://api.kemet.com/component-edge/download/datasheet/C0402C221K5RACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-1030-1-ND,C0402C221K5RACTU,KEMET,CAP CER 220PF 50V X7R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X7R,Active,220pF,220pF,10%,50V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00040,https://api.kemet.com/component-edge/download/datasheet/C0402C103K5RACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-3066-1-ND,C0402C103K5RACTU,KEMET,CAP CER 10000PF 50V X7R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X7R,Active,10000pF,10000pF,10%,50V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00041,https://api.kemet.com/component-edge/download/datasheet/C0402C470J5GACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-1019-1-ND,C0402C470J5GACTU,KEMET,CAP CER 47PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm C0G,Active,47pF,47pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00042,https://api.kemet.com/component-edge/download/datasheet/C0402C101J3GACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-1022-1-ND,C0402C101J3GACTU,KEMET,CAP CER 100PF 25V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm C0G,Active,100pF,100pF,5%,25V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00043,https://api.kemet.com/component-edge/download/datasheet/C0402C100J5GACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-1011-1-ND,C0402C100J5GACTU,KEMET,CAP CER 10PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm C0G,Active,10pF,10pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00044,https://api.kemet.com/component-edge/download/datasheet/C0402C330J5GACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-1017-1-ND,C0402C330J5GACTU,KEMET,CAP CER 33PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm C0G,Active,33pF,33pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00045,https://api.kemet.com/component-edge/download/datasheet/C0402C560J5GACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-1020-1-ND,C0402C560J5GACTU,KEMET,CAP CER 56PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm C0G,Active,56pF,56pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00046,https://api.kemet.com/component-edge/download/datasheet/C0402C101J5RAC7867.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-17544-1-ND,C0402C101J5RAC7867,KEMET,CAP CER SMD 0402 100PF 5% X7R 50,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X7R,Active,100pF,100pF,5%,50V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
