IPN,Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Library Ref,Library Path,Footprint Ref,Footprint Path,Footprint Ref 2,Footprint Path 2,Footprint Ref 3,Footprint Path 3,Series,Part Status,Value,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Operating Temperature,Mounting Type,Package / Case,Size / Dimension,Thickness (Max)
CAP-KEM-GP-0402-00157,https://api.kemet.com/component-edge/download/datasheet/C0402C220K4RAC7867.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-17554-1-ND,C0402C220K4RAC7867,KEMET,CAP CER SMD 0402 22PF 10% X7R 16,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X7R,Active,22pF,22pF,10%,16V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00158,https://api.kemet.com/component-edge/download/datasheet/C0402C102K1GECAUTO.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-17168-1-ND,C0402C102K1GECAUTO,KEMET,CAP CER 0402 1NF 100V C0G 10%,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,ESD SMD Auto C0G,Active,1000pF,1000pF,10%,100V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00159,https://api.kemet.com/component-edge/download/datasheet/CBR04C409B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-13246-1-ND,CBR04C409B5GAC,KEMET,CAP CER 4PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,4pF,4pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00160,https://api.kemet.com/component-edge/download/datasheet/CBR04C108B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-6153-1-ND,CBR04C108B5GAC,KEMET,CAP CER 0.1PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,0.1pF,0.1pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00161,https://api.kemet.com/component-edge/download/datasheet/CBR04C100J5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-6168-1-ND,CBR04C100J5GAC,KEMET,CAP CER 10PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,10pF,10pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00162,https://api.kemet.com/component-edge/download/datasheet/CBR04C160J5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-6171-1-ND,CBR04C160J5GAC,KEMET,CAP CER 16PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,16pF,16pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00163,https://api.kemet.com/component-edge/download/datasheet/CBR04C408B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-6156-1-ND,CBR04C408B5GAC,KEMET,CAP CER 0.4PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,0.4pF,0.4pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00164,https://api.kemet.com/component-edge/download/datasheet/CBR04C508B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-17313-1-ND,CBR04C508B5GAC,KEMET,CAP CER 0.5PF 50V NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,0.5pF,0.5pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00165,https://api.kemet.com/component-edge/download/datasheet/CBR04C180J5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-6172-1-ND,CBR04C180J5GAC,KEMET,CAP CER 18PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,18pF,18pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00166,https://api.kemet.com/component-edge/download/datasheet/C0402C222J8JAC7867.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-13404-1-ND,C0402C222J8JAC7867,KEMET,CAP CER 2200PF 10V U2J 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm U2J,Active,2200pF,2200pF,5%,10V,U2J,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00167,https://api.kemet.com/component-edge/download/datasheet/CBR04C109B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-17308-1-ND,CBR04C109B5GAC,KEMET,CAP CER 1PF 50V NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,1pF,1pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00168,https://api.kemet.com/component-edge/download/datasheet/C0402C105K7PAC7867.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-14872-1-ND,C0402C105K7PAC7867,KEMET,CAP CER 1UF 4V X5R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X5R,Active,1uF,1uF,10%,4V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00169,https://api.kemet.com/component-edge/download/datasheet/C0402C209B5GAC7867.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-14271-1-ND,C0402C209B5GAC7867,KEMET,CAP CER 2PF 50V NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm C0G,Active,2pF,2pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00170,https://api.kemet.com/component-edge/download/datasheet/CBR04C139B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-16060-1-ND,CBR04C139B5GAC,KEMET,CAP CER RF 1.3PF 50V +/-0.1 PF C,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,1.3pF,1.3pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00171,https://api.kemet.com/component-edge/download/datasheet/CBR04C169B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-16062-1-ND,CBR04C169B5GAC,KEMET,CAP CER RF 1.6PF 50V +/-0.1 PF C,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,1.6pF,1.6pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00172,https://api.kemet.com/component-edge/download/datasheet/CBR04C449B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-16088-1-ND,CBR04C449B5GAC,KEMET,CAP CER RF 4.4PF 50V +/-0.1 PF C,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,4.4pF,4.4pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00173,https://api.kemet.com/component-edge/download/datasheet/CBR04C469B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-16090-1-ND,CBR04C469B5GAC,KEMET,CAP CER RF 4.6PF 50V +/-0.1 PF C,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,4.6pF,4.6pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00174,https://api.kemet.com/component-edge/download/datasheet/CBR04C349B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-16077-1-ND,CBR04C349B5GAC,KEMET,CAP CER RF 3.4PF 50V +/-0.1 PF C,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,3.4pF,3.4pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00175,https://api.kemet.com/component-edge/download/datasheet/C0402C225K9PACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-11617-1-ND,C0402C225K9PAC7867,KEMET,CAP CER 2.2UF 6.3V X5R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X5R,Active,2.2uF,2.2uF,10%,6.3V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00176,https://api.kemet.com/component-edge/download/datasheet/CBR04C569B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-17315-1-ND,CBR04C569B5GAC,KEMET,CAP CER 5.6PF 50V NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,5.6pF,5.6pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00177,https://api.kemet.com/component-edge/download/datasheet/C0402C180K5RAC7867.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-19371-1-ND,C0402C180K5RAC7867,KEMET,CAP CER 18PF 50V X7R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X7R,Active,18pF,18pF,10%,50V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00178,https://api.kemet.com/component-edge/download/datasheet/CBR04C919B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-16129-1-ND,CBR04C919B5GAC,KEMET,CAP CER RF 9.1PF 50V +/-0.1 PF C,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,9.1pF,9.1pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00179,https://api.kemet.com/component-edge/download/datasheet/CBR04C759B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-16116-1-ND,CBR04C759B5GAC,KEMET,CAP CER RF 7.5PF 50V +/-0.1 PF C,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,7.5pF,7.5pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00180,https://api.kemet.com/component-edge/download/datasheet/CBR04C929B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-16130-1-ND,CBR04C929B5GAC,KEMET,CAP CER RF 9.2PF 50V +/-0.1 PF C,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,9.2pF,9.2pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00181,https://api.kemet.com/component-edge/download/datasheet/CBR04C549B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-16098-1-ND,CBR04C549B5GAC,KEMET,CAP CER RF 5.4PF 50V +/-0.1 PF C,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,5.4pF,5.4pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00182,https://api.kemet.com/component-edge/download/datasheet/CBR04C729B5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-16113-1-ND,CBR04C729B5GAC,KEMET,CAP CER RF 7.2PF 50V +/-0.1 PF C,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,7.2pF,7.2pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00183,https://api.kemet.com/component-edge/download/datasheet/C0402C100D5GACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-7745-1-ND,C0402C100D5GACTU,KEMET,CAP CER 10PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm C0G,Active,10pF,10pF,0.5pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00184,https://api.kemet.com/component-edge/download/datasheet/C0402C393K4PAC7867.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-14910-1-ND,C0402C393K4PAC7867,KEMET,CAP CER 0.039UF 16V X5R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X5R,Active,0.039uF,0.039uF,10%,16V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00185,https://api.kemet.com/component-edge/download/datasheet/C0402C225M8PACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-7375-1-ND,C0402C225M8PACTU,KEMET,CAP CER 2.2UF 10V X5R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X5R,Active,2.2uF,2.2uF,20%,10V,X5R,-55°C ~ 85°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00186,https://api.kemet.com/component-edge/download/datasheet/C0402C519B5GAC7867.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-14155-1-ND,C0402C519B5GAC7867,KEMET,CAP CER 5.1PF 50V C0G/NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm C0G,Active,5.1pF,5.1pF,0.1pF,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00187,https://api.kemet.com/component-edge/download/datasheet/C0402C104K3RAC7867.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-14148-1-ND,C0402C104K3RAC7867,KEMET,CAP CER 0.1UF 25V X7R 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm X7R,Active,0.1uF,0.1uF,10%,25V,X7R,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00188,https://api.kemet.com/component-edge/download/datasheet/C0402C100G5GAC7867.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-17542-1-ND,C0402C100G5GAC7867,KEMET,CAP CER SMD 0402 10PF 2% COG 50V,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm C0G,Active,10pF,10pF,2%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00189,https://api.kemet.com/component-edge/download/datasheet/C0402C102J5JAC7867.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-13381-1-ND,C0402C102J5JAC7867,KEMET,CAP CER 1000PF 50V U2J 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm U2J,Active,1000pF,1000pF,5%,50V,U2J,-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00190,https://api.kemet.com/component-edge/download/datasheet/CBR04C390J5GAC.pdf,//media.digikey.com/Renders/Kemet%20Renders/0402(0.6Thickness).JPG,399-17685-1-ND,CBR04C390J5GAC,KEMET,CAP CER SMD CBR 0402 39PF 5% 50V,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,CBR-SMD RF C0G,Active,39pF,39pF,5%,50V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
CAP-KEM-GP-0402-00191,https://api.kemet.com/component-edge/download/datasheet/C0402C150J3GACTU.pdf,"//media.digikey.com/Renders/Kemet%20Renders/0402-(1005-Metric)-1,00x0,50x0,55mm.jpg",399-15298-1-ND,C0402C150J3GAC7867,KEMET,CAP CER 15PF 25V NP0 0402,Capacitor,SchLib\Capacitor.SchLib,0402_CAPC1005X06L,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06M,PcbLib\Capacitor.PcbLib,0402_CAPC1005X06N,PcbLib\Capacitor.PcbLib,SMD Comm C0G,Active,15pF,15pF,5%,25V,"C0G, NP0",-55°C ~ 125°C,"Surface Mount, MLCC",0402 (1005 Metric),"0.039"" L x 0.020"" W (1.00mm x 0.50mm)","0.022"" (0.55mm)"
