IPN,Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Library Ref,Library Path,Footprint Ref,Footprint Path,Footprint Ref 2,Footprint Path 2,Footprint Ref 3,Footprint Path 3,Series,Value,Capacitance,Tolerance,Voltage - Rated,Temperature Coefficient,Operating Temperature,Package / Case,Size / Dimension,Thickness (Max)
CAP-YAG-CC-0603-00001,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603%289mmthickness%29.jpg,311-1572-1-ND,CC0603KPX7R9BB103,Yageo,CAP CER 10000PF 50V X7R 0603,Capacitor,SchLib\Capacitor.SchLib,0603_CAPC1608X09N,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09L,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09M,PcbLib\Capacitor.PcbLib,CC,10000pF,10000pF,±10%,50V,X7R,-55°C ~ 125°C,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.035"" (0.90mm)"
CAP-YAG-CC-0603-00002,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603%289mmthickness%29.jpg,311-1085-1-ND,CC0603KRX7R9BB103,Yageo,CAP CER 10000PF 50V X7R 0603,Capacitor,SchLib\Capacitor.SchLib,0603_CAPC1608X09N,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09L,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09M,PcbLib\Capacitor.PcbLib,CC,10000pF,10000pF,±10%,50V,X7R,-55°C ~ 125°C,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.035"" (0.90mm)"
CAP-YAG-CC-0603-00003,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603%289mmthickness%29.jpg,311-1063-1-ND,CC0603JRNPO9BN270,Yageo,CAP CER 27PF 50V C0G/NPO 0603,Capacitor,SchLib\Capacitor.SchLib,0603_CAPC1608X09N,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09L,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09M,PcbLib\Capacitor.PcbLib,CC,27pF,27pF,±5%,50V,"C0G, NP0",-55°C ~ 125°C,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.035"" (0.90mm)"
CAP-YAG-CC-0603-00004,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603%289mmthickness%29.jpg,311-1826-1-ND,CC0603MRX7R9BB103,Yageo,CAP CER 10000PF 50V X7R 0603,Capacitor,SchLib\Capacitor.SchLib,0603_CAPC1608X09N,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09L,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09M,PcbLib\Capacitor.PcbLib,CC,10000pF,10000pF,±20%,50V,X7R,-55°C ~ 125°C,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.035"" (0.90mm)"
CAP-YAG-CC-0603-00005,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603%289mmthickness%29.jpg,311-1080-1-ND,CC0603KRX7R9BB102,Yageo,CAP CER 1000PF 50V X7R 0603,Capacitor,SchLib\Capacitor.SchLib,0603_CAPC1608X09N,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09L,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09M,PcbLib\Capacitor.PcbLib,CC,1000pF,1000pF,±10%,50V,X7R,-55°C ~ 125°C,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.035"" (0.90mm)"
CAP-YAG-CC-0603-00006,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_Y5V_6.3V-to-50V_9.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603%289mmthickness%29.jpg,311-1087-1-ND,CC0603ZRY5V8BB104,Yageo,CAP CER 0.1UF 25V Y5V 0603,Capacitor,SchLib\Capacitor.SchLib,0603_CAPC1608X09N,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09L,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09M,PcbLib\Capacitor.PcbLib,CC,0.1uF,0.1uF,"-20%, +80%",25V,Y5V (F),-30°C ~ 85°C,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.035"" (0.90mm)"
CAP-YAG-CC-0603-00007,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_Y5V_6.3V-to-50V_9.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603%289mmthickness%29.jpg,311-1369-1-ND,CC0603ZRY5V7BB104,Yageo,CAP CER 0.1UF 16V Y5V 0603,Capacitor,SchLib\Capacitor.SchLib,0603_CAPC1608X09N,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09L,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09M,PcbLib\Capacitor.PcbLib,CC,0.1uF,0.1uF,"-20%, +80%",16V,Y5V (F),-30°C ~ 85°C,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.035"" (0.90mm)"
CAP-YAG-CC-0603-00008,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603%289mmthickness%29.jpg,311-1067-1-ND,CC0603JRNPO9BN680,Yageo,CAP CER 68PF 50V C0G/NPO 0603,Capacitor,SchLib\Capacitor.SchLib,0603_CAPC1608X09N,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09L,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09M,PcbLib\Capacitor.PcbLib,CC,68pF,68pF,±5%,50V,"C0G, NP0",-55°C ~ 125°C,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.035"" (0.90mm)"
CAP-YAG-CC-0603-00009,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603%289mmthickness%29.jpg,311-1335-1-ND,CC0603KPX7R7BB104,Yageo,CAP CER 0.1UF 16V X7R 0603,Capacitor,SchLib\Capacitor.SchLib,0603_CAPC1608X09N,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09L,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09M,PcbLib\Capacitor.PcbLib,CC,0.1uF,0.1uF,±10%,16V,X7R,-55°C ~ 125°C,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.035"" (0.90mm)"
CAP-YAG-CC-0603-00010,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GP_NP0_16V-to-50V_18.pdf,//media.digikey.com/Renders/Yageo%20Renders/0603%289mmthickness%29.jpg,311-1064-1-ND,CC0603JRNPO9BN330,Yageo,CAP CER 33PF 50V C0G/NPO 0603,Capacitor,SchLib\Capacitor.SchLib,0603_CAPC1608X09N,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09L,PcbLib\Capacitor.PcbLib,0603_CAPC1608X09M,PcbLib\Capacitor.PcbLib,CC,33pF,33pF,±5%,50V,"C0G, NP0",-55°C ~ 125°C,0603 (1608 Metric),"0.063"" L x 0.031"" W (1.60mm x 0.80mm)","0.035"" (0.90mm)"
